
🇨🇳港台电影,#genre#
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
天映频道,http://o11.163189.xyz/stream/live/typd/
天映频道,http://smt.1678520.xyz/smt3.2.3.php?id=Celestial
天映频道,http://74.91.26.218:82/live/typd.m3u8
天映经典,http://74.91.26.218:82/live/tyjd.m3u8
天映频道,https://o11.163189.xyz/stream/live/typd/
天映经典,https://o11.163189.xyz/stream/live/ccm/
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映频道,http://t.061899.xyz/tl/168.php?id=typd
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2

天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
天映经典2,http://tl.061833.xyz/tl/null-1
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2

天映频道,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Celestial
天映经典,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Celestial2

天映频道,http://cdn10.163189.xyz/163189/typd
天映经典,http://cdn10.163189.xyz/163189/ccm
爆谷,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUaFBmz2P45zHSyAqfwWcUpn7Lrhdbt8W042CxwTlNwHQBHxAorPl6WG505axByLsqm_6uwwf1TFr09ekS-WoJxI9O52n-XjCSzld0iXNILyGsupIIoJAwHj6sU5fRMWkT8lXOjk8dzTjEAFkg7T7lkFrggmhPUEnMV8uzxJHoqLE4Z9kmjzi7bsfb2fGQXfcylFnj-ccOYGV6y8bKDUuf22WZ575UidyzCiYfIdoV-yo.m3u8?u=1756878715
POPC,http://mytvsuper.webn.cc:2052/stream/mytv/popc/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
POPC,http://tl.061833.xyz/tl/popc
POPC,P2p://starvod.xyz:19806/688bba7c000da6943214e2280ad91465.ts
POPC,http://bxtv.3a.ink/api.php?id=popc
美亚电影(港),http://tl.061833.xyz/tl/null-5
美亚电影,https://cdn9.163189.xyz/smt3.1.1.php?id=meiyamovie_twn

爱奇艺,http://o11.163189.xyz/stream/live/iqiyi/
爱奇艺,http://smt.1678520.xyz/smt3.2.3.php?id=Qiyi
爱奇艺,https://smt.1678520.xyz/smt3.2.1.php?id=Qiyi



美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
